_id,YESIL_ALAN_TURU,ILCE,MAHALLE,ADRES,PARK_ADI,YESIL_ALAN_MIKTARI,KONDISYON_TAKIMI,OYUN_GRUBU
1,Sahil Bandı,BAYRAKLI,BAYRAKLI,Sahil Boyu,BAYRAKLI SAHİL,155389.57999999998719431459903717041015625,3,4
2,PARK,BAYRAKLI,SOĞUKKUYU,1847 Sokak,UMATEM PARKI,5961.8699999999998908606357872486114501953125,,1
3,PARK,BAYRAKLI,SOĞUKKUYU,"",1848 SOKAK YENI PARK KÜÇÜK,638.6699999999999590727384202182292938232421875,1,
4,PARK,BAYRAKLI,YAMANLAR,7303 Sokak,PETKİM PARKI,5283.510000000000218278728425502777099609375,,1
5,PARK,BAYRAKLI,ORG.NAFİZ GÜRMAN,7171 Sokak,ORG. NAFİZ GÜRMAN FUTBOL SAHASI YANI,6031.239999999999781721271574497222900390625,,1
6,PARK,BAYRAKLI,75. YIL,"",75. YIL PARKI (KÜÇÜK),1412.990000000000009094947017729282379150390625,,1
7,PARK,BAYRAKLI,EMEK,7261 Sokak,GÜMÜŞPALA ÖĞRENİM BİRİMİ,2113.90999999999985448084771633148193359375,,1
8,PARK,BAYRAKLI,SOĞUKKUYU,Girne Bulvarı /Yeni Girne Kapalı Pazaryeri Yanı,İZZET ERİŞEN PARKI -1,1568.079999999999927240423858165740966796875,1,1
9,PARK,BAYRAKLI,75. YIL,1620/41 Sokak,75. YIL PARKI (BÜYÜK),13429.09000000000014551915228366851806640625,2,1
10,PARK,BAYRAKLI,SOĞUKKUYU,"",1848 SOKAK YENI PARK BÜYÜK,1771.1300000000001091393642127513885498046875,,1
11,YEŞİL ALAN,BAYRAKLI,SOĞUKKUYU,1851/10 Sokak,1848 SOKAK YEŞİL ALAN,2919.84999999999990905052982270717620849609375,,
12,REKREASYON ALANI,BAYRAKLI,CENGİZHAN, 1620/39 Sokak,ORD.PROF.DR.EKREM AKURGAL YAŞAM PARKI,90001.960000000006402842700481414794921875,3,3
13,PARK,BAYRAKLI,75. YIL,"",75. YIL PARKI (BÜYÜK),889.950000000000045474735088646411895751953125,,1
14,PARK,BAYRAKLI,MANSUROĞLU,"",BAYRAKLI 75. YIL PARKI,11320.940000000000509317032992839813232421875,,
15,PARK,BAYRAKLI,SOĞUKKUYU,"",İZZET ERİŞEN PARKI -2,5361.420000000000072759576141834259033203125,,
16,PARK,BAYRAKLI,ORG.NAFİZ GÜRMAN,7160 Sokak,ORG.NAFIZ GÜRMAN MAHALLESİ PARKI (7160 SOKAK),4269.0600000000004001776687800884246826171875,1,1
17,PARK,BAYRAKLI,75. YIL,1620/39 Sokak,75. YIL PARKI (KÜÇÜK),2129.9600000000000363797880709171295166015625,,1
18,PARK,BAYRAKLI,EMEK,Şehit Asteğmen Mesut Uzlu Sokak,EMEK MAHALLESİ PARKI (EÇEV),55683.9400000000023283064365386962890625,,
19,PARK,BAYRAKLI,YAMANLAR,"",YAMANLAR CEM EVI PARKI,2000.5,,
20,PARK,BAYRAKLI,POSTACILAR,"",POSTACILAR MAHALLESİ PARKI,2535.80999999999994543031789362430572509765625,,
21,PARK,BAYRAKLI,75. YIL,"",75. YIL MUHTARLIK ARKASI PARKI,1190.529999999999972715158946812152862548828125,,
22,PARK,BAYRAKLI,GÜMÜŞPALA,"",ŞELALE PARKI,8077.0399999999999636202119290828704833984375,,1
23,PARK,BAYRAKLI,ADALET,Manas Bulvarı No: 78,ADALET MAHALLESİ MUHTARLIĞI YANI PARKI,1640.089999999999918145476840436458587646484375,1,1
24,PARK,BAYRAKLI,MANAVKUYU,617 Sokak,YÜZBAŞI İBRAHİM HAKKI CADDESİ (BAHAR TAKSİ ARKASI PARK),25603.830000000001746229827404022216796875,1,1
