_id,YESIL_ALAN_TURU,ILCE,MAHALLE,ADRES,PARK_ADI,YESIL_ALAN_MIKTARI,KONDISYON_TAKIMI,OYUN_GRUBU
1,PARK,KONAK,ALSANCAK,Liman caddesi,ALSANCAK ASTEĞMEN BESİM BEY PARKI,3017.19000000000005456968210637569427490234375,,
2,PARK,KONAK,YEŞİLTEPE,Mithatpaşa caddesi,BAHRİ BABA PARKI,4154.850000000000363797880709171295166015625,,
3,PARK,KONAK,EGE,1517 sokak,EGE MAHALLESİ PARKI  (EGE MAHALLESİ MUHTARLIĞI YANI),765.970000000000027284841053187847137451171875,,1
4,PARK,KONAK,GÜZELYALI,Mustafa kemal sahil bulvarı,MUSTAFA KEMAL SAHİL BULVARI KARA TARAFI,59712.16000000000349245965480804443359375,1,1
5,PARK,KONAK,SELÇUK,Eşrefpaşa caddesi,CİCİ PARK,31151.75,1,1
6,PARK,KONAK,MEHMET ALİ AKMAN,İnönü caddesi,GÜZELYALI I. ÇİÇEK PARKI,6053.6400000000003274180926382541656494140625,,1
7,PARK,KONAK,NAMIK KEMAL,421 sokak,MUSTAFA GÜLÜM PARKI,10574.629999999999199644662439823150634765625,1,1
8,AĞAÇLANDIRMA ALANI,KONAK,KADİFEKALE,Kadifekale kent ormanı,KADİFEKALE KENT ORMANI,436954.9600000000209547579288482666015625,6,5
9,PARK,KONAK,KADİFEKALE,Kadifekale arkeoloji ve tarih parkı,KADİFEKALE ARKEOLOJİ VE TARİH PARKI,98982.02999999999883584678173065185546875,,
10,MEZARLIK,KONAK,KADİFEKALE,Kadifekale şehitlik,KADİFEKALE ŞEHİTLİK,18597.669999999998253770172595977783203125,,
11,PARK,KONAK,ALSANCAK,Enver dündar başar sok. No:12,İZMİR KENT KONSEYİ PROF. DR. ADNAN OĞUZ AKYARLI PARKI ,1075.799999999999954525264911353588104248046875,,1
12,PARK,KONAK,GÖZTEPE,Mithatpaşa caddesi,SUSUZDEDE PARKI,48565.3199999999997089616954326629638671875,1,1
13,PARK,KONAK,GÖZTEPE,İnönü caddesi 88 sokak,KONAK KADINLAR BİRLİĞİ PARKI,2194.489999999999781721271574497222900390625,1,1
14,PARK,KONAK,ATİLLA,Eşrefpaşa caddesi,YENİ BAYRAMYERİ PARK,2174.26999999999998181010596454143524169921875,,1
15,PARK,KONAK,ZAFERTEPE,Yeşillik caddesi,YAĞHANELER HAVUZLU PARK (ŞELALE PARKI) ,9690.780000000000654836185276508331298828125,,
16,PARK,KONAK,YEŞİLTEPE,Mithatpaşa caddesi,ŞELALELİ PARK (SABANCI KÜLTÜR MERKEZİ KARŞISI),1179.319999999999936335370875895023345947265625,,
